40
Лісогор,81,98,96,84,83,TRUE
Луцька,99,96,75,65,70,TRUE
Максай,80,81,100,82,86,FALSE
Мамута,70,90,85,71,65,FALSE
Мамчук,79,93,82,86,101,FALSE
Маркушевський,89,85,100,90,92,TRUE
Миронюк,85,92,80,70,60,TRUE
Мілашевський,63,90,94,85,85,FALSE
Міщенко,71,60,69,88,87,FALSE
Мовчан,94,76,89,91,65,FALSE
Морозов,75,64,74,96,93,FALSE
Новаков,90,69,79,68,101,TRUE
Опанасенко,91,100,92,73,84,TRUE
Осипенко,75,75,91,69,84,TRUE
Павленко,95,100,94,86,82,FALSE
Павленко,63,68,69,74,83,FALSE
Пархоменко,97,71,93,63,90,FALSE
Печена,94,98,81,77,65,FALSE
Печенізький,94,79,94,94,75,TRUE
Пилипенко,89,64,78,62,90,TRUE
Прокопенко,93,96,65,94,64,FALSE
Порошенко,82,91,71,67,90,FALSE
Сахнюк,62,84,92,86,94,TRUE
Семченко,70,84,101,68,62,FALSE
Сєнін,77,74,66,80,100,TRUE
Ситник,70,86,101,63,68,TRUE
Сич,64,100,95,76,83,TRUE
Смищенко,97,68,74,71,60,FALSE
Сокоренко,93,97,78,65,93,FALSE
Соляніков,79,86,80,71,75,TRUE
Стройванс,64,60,93,88,66,FALSE
Трамп,65,62,100,66,101,FALSE
Трохименко,87,101,69,96,64,TRUE
Федорович,82,92,76,88,93,FALSE
Халеп,91,99,70,78,100,FALSE
Хмельницький,96,87,87,60,81,FALSE
Царук,60,76,99,63,73,TRUE
Шатровський,90,60,101,89,75,TRUE
Шелудько,90,90,94,93,65,TRUE
Юрчишин,90,85,82,86,101,TRUE
