80
Адаменко,92,60,80,82,67,FALSE
Базір,95,85,92,77,81,TRUE
Бовсунівський,69,89,95,98,93,FALSE
Бондар В.,81,86,96,82,72,FALSE
Бондар О.,93,98,85,93,94,TRUE
Бугайов,84,71,98,76,68,FALSE
Валігура,85,74,61,61,77,TRUE
Васюк,101,64,80,85,73,TRUE
Величко,75,64,99,99,91,TRUE
Верещак,79,95,94,97,62,FALSE
Вінницький,66,72,68,95,88,FALSE
Віхляєв,85,67,72,63,71,FALSE
Вовк,98,65,92,73,99,FALSE
Гордієнко,75,91,68,62,90,FALSE
Граб,83,64,68,94,93,FALSE
Гук,70,69,84,95,66,TRUE
Дроздович,88,79,85,65,74,TRUE
Дубинський,84,65,85,74,95,FALSE
Євтушенко,77,69,87,67,82,TRUE
Заєць,79,67,98,87,71,FALSE
Зайченко В.,75,84,68,90,72,TRUE
Зайченко І.,77,84,75,82,81,FALSE
Згуровський,81,76,74,97,74,FALSE
Знахаренко,63,85,64,90,67,TRUE
Зозуля,87,69,63,68,89,FALSE
Каленик,97,74,96,71,61,TRUE
Калініченко,69,101,64,101,88,TRUE
Карпа,64,65,99,94,65,TRUE
Кершков,85,97,84,97,81,FALSE
Кибко,91,99,89,99,62,TRUE
Ковальов,77,99,68,61,81,TRUE
Козар,60,62,63,63,77,TRUE
Корольова,95,82,60,65,79,TRUE
Костяєв,70,75,100,63,71,TRUE
Котяй,96,94,96,77,70,TRUE
Кошовець,98,98,96,85,60,TRUE
Кущ,87,62,95,81,68,FALSE
Лейзьо,97,66,66,66,60,FALSE
Линник,81,63,76,62,73,FALSE
Литвинчук,97,75,86,94,65,FALSE
Лісогор,81,98,96,84,83,TRUE
Луцька,99,96,75,65,70,TRUE
Максай,80,81,100,82,86,FALSE
Мамута,70,90,85,71,65,FALSE
Мамчук,79,93,82,86,101,FALSE
Маркушевський,89,85,100,90,92,TRUE
Миронюк,85,92,80,70,60,TRUE
Мілашевський,63,90,94,85,85,FALSE
Міщенко,71,60,69,88,87,FALSE
Мовчан,94,76,89,91,65,FALSE
Морозов,75,64,74,96,93,FALSE
Новаков,90,69,79,68,101,TRUE
Опанасенко,91,100,92,73,84,TRUE
Осипенко,75,75,91,69,84,TRUE
Павленко,95,100,94,86,82,FALSE
Павленко,63,68,69,74,83,FALSE
Пархоменко,97,71,93,63,90,FALSE
Печена,94,98,81,77,65,FALSE
Печенізький,94,79,94,94,75,TRUE
Пилипенко,89,64,78,62,90,TRUE
Прокопенко,93,96,65,94,64,FALSE
Порошенко,82,91,71,67,90,FALSE
Сахнюк,62,84,92,86,94,TRUE
Семченко,70,84,101,68,62,FALSE
Сєнін,77,74,66,80,100,TRUE
Ситник,70,86,101,63,68,TRUE
Сич,64,100,95,76,83,TRUE
Смищенко,97,68,74,71,60,FALSE
Сокоренко,93,97,78,65,93,FALSE
Соляніков,79,86,80,71,75,TRUE
Стройванс,64,60,93,88,66,FALSE
Трамп,65,62,100,66,101,FALSE
Трохименко,87,101,69,96,64,TRUE
Федорович,82,92,76,88,93,FALSE
Халеп,91,99,70,78,100,FALSE
Хмельницький,96,87,87,60,81,FALSE
Царук,60,76,99,63,73,TRUE
Шатровський,90,60,101,89,75,TRUE
Шелудько,90,90,94,93,65,TRUE
Юрчишин,90,85,82,86,101,TRUE
